TimeStamp,Summary,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Rain
1710205445,Partly Cloudy,9.472222222,7.388888889,0.89,14.1197,251,15.8263,1015.13,Yes
1722840788,Partly Cloudy,9.355555556,7.227777778,0.86,14.2646,259,15.8263,1015.63,No
1731772935,Mostly Cloudy,9.377777778,9.377777778,0.89,3.9284,204,14.9569,1015.94,No
1726173110,Partly Cloudy,8.288888889,5.944444444,0.83,14.1036,269,15.8263,1016.41,Yes
1719404122,Mostly Cloudy,8.755555556,6.977777778,0.83,11.0446,259,15.8263,1016.51,No
1730932507,Partly Cloudy,9.222222222,7.111111111,0.85,13.9587,258,14.9569,1016.66,Yes
1731494084,Partly Cloudy,7.733333333,5.522222222,0.95,12.3648,259,9.982,1016.72,No
1710539601,Partly Cloudy,8.772222222,6.527777778,0.89,14.1519,260,9.982,1016.84,Yes
1715850988,Partly Cloudy,10.82222222,10.82222222,0.82,11.3183,259,9.982,1017.37,No
1713347379,Partly Cloudy,13.77222222,13.77222222,0.72,12.5258,279,9.982,1017.22,Yes
1734067347,Partly Cloudy,16.01666667,16.01666667,0.67,17.5651,290,11.2056,1017.42,Yes
1734470580,Partly Cloudy,17.14444444,17.14444444,0.54,19.7869,316,11.4471,1017.74,Yes
1717255825,Partly Cloudy,17.8,17.8,0.55,21.9443,281,11.27,1017.59,Yes
1735594859,Partly Cloudy,17.33333333,17.33333333,0.51,20.6885,289,11.27,1017.48,Yes
1708362711,Partly Cloudy,18.87777778,18.87777778,0.47,15.3755,262,11.4471,1017.17,Yes
1712323666,Partly Cloudy,18.91111111,18.91111111,0.46,10.4006,288,11.27,1016.47,Yes
1710998514,Partly Cloudy,15.38888889,15.38888889,0.6,14.4095,251,11.27,1016.15,Yes
1713829785,Mostly Cloudy,15.55,15.55,0.63,11.1573,230,11.4471,1016.17,No
1722754946,Mostly Cloudy,14.25555556,14.25555556,0.69,8.5169,163,11.2056,1015.82,No
1713511640,Mostly Cloudy,13.14444444,13.14444444,0.7,7.6314,139,11.2056,1015.83,No
1720243877,Mostly Cloudy,11.55,11.55,0.77,7.3899,147,11.0285,1015.85,No
1717263662,Mostly Cloudy,11.18333333,11.18333333,0.76,4.9266,160,9.982,1015.77,No
1707526020,Partly Cloudy,10.11666667,10.11666667,0.79,6.6493,163,15.8263,1015.4,No
1705304162,Mostly Cloudy,10.2,10.2,0.77,3.9284,152,14.9569,1015.51,No
1717319834,Partly Cloudy,10.42222222,10.42222222,0.62,16.9855,150,15.8263,1014.4,No
